2026-01-08 00:18:40.699 +02:00 [INF] Getting All Gift {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"4d8d225a-5ea4-4358-988d-259725f3e197","ActionName":"ChineseSale.Controllers.GiftController.DeleteGift (ChineseSale)","RequestId":"0HNIE5JS3F7AJ:00000013","RequestPath":"/api/Gift/5","ConnectionId":"0HNIE5JS3F7AJ"}
2026-01-08 19:30:05.632 +02:00 [WRN] The ASP.NET Core developer certificate is not trusted. For information about trusting the ASP.NET Core developer certificate, see https://aka.ms/aspnet/https-trust-dev-cert {"EventId":{"Id":8,"Name":"DeveloperCertificateNotTrusted"},"SourceContext":"Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer"}
2026-01-08 19:32:44.746 +02:00 [INF] Getting All Gift {"SourceContext":"ChineseSale.Controllers.CategoryController","ActionId":"713c799b-0095-4bbb-a83c-ec28352aea1e","ActionName":"ChineseSale.Controllers.CategoryController.GetAllCategoryAsync (ChineseSale)","RequestId":"0HNIERFL8E6DR:00000001","RequestPath":"/api/Category","ConnectionId":"0HNIERFL8E6DR"}
2026-01-08 19:32:44.746 +02:00 [INF] Getting All Gift {"SourceContext":"ChineseSale.Controllers.CategoryController","ActionId":"713c799b-0095-4bbb-a83c-ec28352aea1e","ActionName":"ChineseSale.Controllers.CategoryController.GetAllCategoryAsync (ChineseSale)","RequestId":"0HNIERFL8E6DR:00000003","RequestPath":"/api/Category","ConnectionId":"0HNIERFL8E6DR"}
2026-01-08 19:41:13.293 +02:00 [INF] Getting All Gift {"SourceContext":"ChineseSale.Controllers.DonorController","ActionId":"e380f8e8-cd16-405f-a7ed-3b032a7424ad","ActionName":"ChineseSale.Controllers.DonorController.GetAllDonorAsync (ChineseSale)","RequestId":"0HNIERFL8E6DR:00000005","RequestPath":"/api/Donor","ConnectionId":"0HNIERFL8E6DR"}
2026-01-08 19:57:06.238 +02:00 [INF] Getting All Gift {"SourceContext":"ChineseSale.Controllers.CategoryController","ActionId":"713c799b-0095-4bbb-a83c-ec28352aea1e","ActionName":"ChineseSale.Controllers.CategoryController.GetAllCategoryAsync (ChineseSale)","RequestId":"0HNIERFL8E6DT:00000001","RequestPath":"/api/Category","ConnectionId":"0HNIERFL8E6DT"}
2026-01-08 22:58:11.816 +02:00 [INF] Getting All Gift {"SourceContext":"ChineseSale.Controllers.DonorController","ActionId":"e380f8e8-cd16-405f-a7ed-3b032a7424ad","ActionName":"ChineseSale.Controllers.DonorController.GetAllDonorAsync (ChineseSale)","RequestId":"0HNIERFL8E6DV:00000001","RequestPath":"/api/Donor","ConnectionId":"0HNIERFL8E6DV"}
2026-01-08 22:58:23.571 +02:00 [INF] Getting All Gift {"SourceContext":"ChineseSale.Controllers.CategoryController","ActionId":"713c799b-0095-4bbb-a83c-ec28352aea1e","ActionName":"ChineseSale.Controllers.CategoryController.GetAllCategoryAsync (ChineseSale)","RequestId":"0HNIERFL8E6DV:00000003","RequestPath":"/api/Category","ConnectionId":"0HNIERFL8E6DV"}
2026-01-08 23:01:15.160 +02:00 [INF] Getting All Gift {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"5d198fbf-78f2-459e-add2-b4677eeead15","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNIERFL8E6DV:00000005","RequestPath":"/api/Gift","ConnectionId":"0HNIERFL8E6DV"}
2026-01-08 23:02:19.481 +02:00 [INF] Getting All Gift {"SourceContext":"ChineseSale.Controllers.CategoryController","ActionId":"713c799b-0095-4bbb-a83c-ec28352aea1e","ActionName":"ChineseSale.Controllers.CategoryController.GetAllCategoryAsync (ChineseSale)","RequestId":"0HNIERFL8E6DV:00000007","RequestPath":"/api/Category","ConnectionId":"0HNIERFL8E6DV"}
2026-01-08 23:02:38.623 +02:00 [INF] Getting All Gift {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"b82a4f34-fdc7-4b42-810f-5389a0ac558f","ActionName":"ChineseSale.Controllers.GiftController.UpdateGiftAsync (ChineseSale)","RequestId":"0HNIERFL8E6DV:0000000B","RequestPath":"/api/Gift/Update","ConnectionId":"0HNIERFL8E6DV"}
